Step,Position,Velocity,Action_Vel_Cmd,Action_Lick_Cmd,Critic_Value,Policy_StdDev,Reward
198,75.49,7.786,7.786,-0.649,0.453,0.9897,-0.005
199,83.502,8.012,8.012,0.571,0.4362,1.0001,-0.055
200,93.006,9.504,9.504,-0.327,0.5241,0.0016,-0.005
201,74.243,-18.763,-18.763,-0.418,0.8079,0.006,-0.005
202,77.712,3.469,3.469,-0.861,0.2532,0.9356,-0.005
203,58.11,-19.602,-19.602,0.248,0.8279,0.9931,-0.055
204,49.285,-8.825,-8.825,0.851,0.2683,0.9498,-0.055
205,67.556,18.271,18.271,-0.347,0.929,0.9324,-0.005
206,85.943,18.387,18.387,-0.079,0.9432,0.0019,-0.005
207,68.404,-17.54,-17.54,0.759,0.7761,0.0047,-0.055
208,68.748,0.344,0.344,-0.91,0.0298,0.9354,-0.005
209,76.899,8.151,8.151,0.401,0.4443,0.981,-0.055
210,79.312,2.413,2.413,0.756,0.1661,1.001,-0.055
211,59.471,-19.841,-19.841,0.795,0.8345,0.9917,-0.055
212,55.202,-4.269,-4.269,-0.799,0.0863,0.9507,-0.005
213,49.967,-5.235,-5.235,-0.843,0.1602,0.9326,-0.005
214,61.566,11.599,11.599,-0.357,0.5997,0.9312,-0.005
215,53.38,-8.186,-8.186,0.349,0.3737,1.0001,-0.055
216,52.094,-1.286,-1.286,0.649,0.0164,0.9328,-0.055
217,44.524,-7.57,-7.57,-0.055,0.2645,0.9325,-0.005
218,61.686,17.162,17.162,0.94,0.8376,0.9294,-0.055
219,49.853,-11.833,-11.833,0.9,0.542,0.001,-0.055
220,57.099,7.246,7.246,0.287,0.3665,0.9356,-0.055
221,44.301,-12.798,-12.798,-0.107,0.5127,0.9458,-0.005
222,28.065,-16.236,-16.236,-0.193,0.6077,0.9344,-0.005
223,43.612,15.547,15.547,0.571,0.7714,0.9317,-0.055
224,56.403,12.791,12.791,0.029,0.6512,0.951,-0.055
225,63.141,6.738,6.738,0.696,0.3464,0.9492,-0.055
226,64.888,1.747,1.747,-0.568,0.1658,0.992,-0.005
227,46.498,-18.39,-18.39,-0.094,0.7742,0.9824,-0.005
228,65.186,18.688,18.688,0.408,0.9298,0.9426,-0.055
229,84.941,19.755,19.755,-0.347,1.0168,0.0017,-0.005
230,101.725,16.783,16.783,-0.376,0.8706,0.0041,-0.005
231,116.431,14.706,14.706,0.585,0.7493,0.0096,-0.055
232,97.383,-19.048,-19.048,0.131,0.8243,0.0118,-0.055
233,107.937,10.555,10.555,0.571,0.5472,0.9439,-0.055
234,120.0,19.182,19.182,-0.34,0.985,0.0109,-0.005
235,109.859,-10.141,-10.141,-0.284,0.483,0.9673,-0.005
236,120.0,13.606,13.606,0.01,0.7054,0.9628,-0.055
237,120.0,17.192,17.192,-0.6,0.9263,0.9655,-0.005
238,120.0,17.636,17.636,0.742,0.9092,0.9671,-0.055
239,103.403,-16.597,-16.597,-0.011,0.7497,0.9672,-0.005
240,92.499,-10.904,-10.904,0.715,0.403,0.9493,-0.055
241,110.988,18.489,18.489,0.51,0.9254,0.9574,-0.055
242,120.0,18.373,18.373,0.821,0.9131,0.01,-0.055
243,120.0,4.813,4.813,-0.232,0.323,0.9672,-0.005
244,103.366,-16.634,-16.634,-0.545,0.6979,0.9571,-0.005
245,114.973,11.607,11.607,-0.892,0.6433,0.9492,-0.005
246,120.0,16.135,16.135,-0.77,0.8486,0.0124,-0.005
247,116.782,-3.218,-3.218,0.004,0.2219,0.9667,-0.055
248,109.946,-6.836,-6.836,-0.416,0.2525,0.9889,-0.005
249,95.912,-14.033,-14.033,0.029,0.5459,0.9741,-0.055
250,82.625,-13.288,-13.288,-0.128,0.4982,0.9521,-0.005
251,85.479,2.855,2.855,0.133,0.2004,0.9496,-0.055
252,88.255,2.776,2.776,-0.678,0.2236,0.9955,-0.005
253,105.733,17.478,17.478,-0.34,0.9031,0.9966,-0.005
254,88.901,-16.833,-16.833,0.409,0.7407,0.0101,-0.055
255,96.902,8.001,8.001,-0.51,0.4654,0.9441,-0.005
256,79.645,-17.257,-17.257,0.152,0.7341,0.0061,-0.055
257,63.017,-16.628,-16.628,-0.615,0.6383,0.9403,-0.005
258,74.027,11.01,11.01,0.784,0.5588,0.9348,-0.055
259,91.986,17.959,17.959,0.442,0.9084,0.0013,-0.055
260,72.369,-19.617,-19.617,0.278,0.8646,0.0066,-0.055
261,54.097,-18.272,-18.272,-0.501,0.7085,0.9329,-0.005
262,66.587,12.49,12.49,0.971,0.5967,0.9463,-0.055
263,73.478,6.891,6.891,0.777,0.3779,0.0,-0.055
264,63.475,-10.003,-10.003,-0.103,0.4302,0.9976,-0.005
265,72.827,9.352,9.352,0.978,0.4771,0.9487,-0.055
266,77.093,4.266,4.266,-0.766,0.2957,1.0007,-0.005
267,87.58,10.486,10.486,-0.355,0.5687,0.9944,-0.005
268,68.098,-19.482,-19.482,0.697,0.8348,0.0052,-0.055
269,54.458,-13.64,-13.64,0.915,0.5232,0.9312,-0.055
270,71.955,17.497,17.497,0.509,0.8672,0.9395,-0.055
271,86.305,14.351,14.351,-0.437,0.7543,0.0024,-0.005
272,72.041,-14.264,-14.264,0.037,0.6351,0.006,-0.055
273,53.308,-18.732,-18.732,-0.862,0.7419,0.9431,-0.005
274,50.19,-3.118,-3.118,0.86,0.0436,0.9465,-0.055
275,38.818,-11.371,-11.371,0.665,0.4222,0.932,-0.055
276,54.922,16.104,16.104,0.08,0.814,0.9315,-0.055
277,51.303,-3.619,-3.619,0.317,0.1671,0.951,-0.055
278,36.493,-14.809,-14.809,0.252,0.5681,0.9322,-0.055
279,44.417,7.924,7.924,-0.565,0.4251,0.9337,-0.005
280,30.407,-14.01,-14.01,-0.432,0.5726,0.9452,-0.005
281,45.294,14.887,14.887,-0.439,0.765,0.9305,-0.005
282,32.616,-12.678,-12.678,0.391,0.527,0.9506,-0.055
283,24.804,-7.812,-7.812,0.505,0.25,0.9304,-0.055
284,37.91,13.106,13.106,-0.466,0.6775,0.9277,-0.005
