episode,phase,total_reward,steps,success,licked_left,licked_right,n_licks,critic_loss,actor_loss,alpha
236,1.0,1096.065,500,0,0,0,287,nan,498.159729,nan
237,1.0,995.99,500,0,1,0,302,nan,475.73465,nan
238,1.0,896.155,500,0,1,0,269,nan,417.448059,nan
239,1.0,996.085,500,0,1,0,283,nan,450.764771,nan
240,1.0,996.045,500,0,0,0,291,nan,477.539032,nan
241,1.0,1096.16,500,0,0,0,268,nan,509.496918,nan
242,1.0,996.065,500,0,1,0,287,nan,475.51123,nan
243,1.0,1096.145,500,0,1,0,271,nan,517.096802,nan
244,1.0,996.175,500,0,1,0,265,nan,451.005798,nan
245,1.0,996.23,500,0,1,0,254,nan,467.403717,nan
246,1.0,1096.105,500,0,1,0,279,nan,502.235168,nan
247,1.0,1096.125,500,0,0,0,275,nan,496.253601,nan
248,1.0,996.075,500,0,1,0,285,nan,466.860901,nan
249,1.0,1096.185,500,0,0,0,263,nan,491.064636,nan
250,1.0,996.13,500,0,0,0,274,nan,476.717865,nan
251,1.0,1096.075,500,0,1,0,285,nan,511.512451,nan
252,1.0,1096.195,500,0,0,0,261,nan,517.11969,nan
253,1.0,1096.205,500,0,0,0,259,nan,509.052368,nan
254,1.0,1096.105,500,0,0,0,279,nan,519.140686,nan
255,1.0,996.165,500,0,1,0,267,nan,454.276947,nan
256,1.0,1196.15,500,0,0,0,270,nan,551.997681,nan
257,1.0,1196.18,500,0,0,0,264,nan,549.575073,nan
258,1.0,1096.21,500,0,0,0,258,nan,513.967163,nan
259,1.0,1096.11,500,0,0,0,278,nan,514.650757,nan
260,1.0,1096.15,500,0,0,0,270,nan,500.039825,nan
261,1.0,996.12,500,0,1,0,276,nan,452.211304,nan
262,1.0,996.115,500,0,1,0,277,nan,459.867706,nan
263,1.0,996.065,500,0,1,0,287,nan,439.839569,nan
264,1.0,996.225,500,0,1,0,255,nan,450.2117,nan
265,1.0,996.18,500,0,1,0,264,nan,476.052612,nan
266,1.0,1096.205,500,0,0,0,259,nan,523.171936,nan
267,1.0,996.195,500,0,1,0,261,nan,454.592224,nan
268,1.0,1096.185,500,0,0,0,263,nan,531.872009,nan
269,1.0,1096.14,500,0,1,0,272,nan,503.368652,nan
270,1.0,1196.19,500,0,0,0,262,nan,540.964478,nan
271,1.0,1096.185,500,0,1,0,263,nan,507.699463,nan
272,1.0,996.11,500,0,1,0,278,nan,472.025208,nan
273,1.0,996.185,500,0,0,0,263,nan,451.901672,nan
274,1.0,1096.215,500,0,0,0,257,nan,506.897247,nan
275,1.0,1096.245,500,0,0,0,251,nan,508.415192,nan
276,1.0,1096.25,500,0,0,0,250,nan,519.77771,nan
277,1.0,996.14,500,0,1,0,272,nan,470.575653,nan
278,1.0,1096.2,500,0,0,0,260,nan,501.722137,nan
279,1.0,996.14,500,0,1,0,272,nan,461.532745,nan
280,1.0,1196.14,500,0,1,0,272,nan,543.841187,nan
281,1.0,1096.275,500,0,0,0,245,nan,514.09198,nan
282,1.0,996.21,500,0,1,0,258,nan,469.903534,nan
283,1.0,1196.235,500,0,1,0,253,nan,548.515015,nan
284,1.0,1096.17,500,0,0,0,266,nan,505.28656,nan
