episode,phase,total_reward,steps,success,n_licks,n_successes,intra_trial_duration,critic_loss,actor_loss,alpha
320,1.0,-18.65,500,0,323,0,nan,nan,nan,nan
321,1.0,-19.6,500,0,342,0,nan,nan,nan,nan
322,1.0,-18.75,500,0,325,0,nan,nan,nan,nan
323,1.0,-18.05,500,0,311,0,nan,nan,nan,nan
324,1.0,-19.05,500,0,331,0,nan,nan,nan,nan
325,1.0,-8.3,500,1,316,1,134.0,nan,nan,nan
326,1.0,-8.3,500,1,316,1,420.0,nan,nan,nan
327,1.0,-18.45,500,0,319,0,nan,nan,nan,nan
328,1.0,-18.15,500,0,313,0,nan,nan,nan,nan
329,1.0,-18.1,500,0,312,0,nan,nan,nan,nan
330,1.0,-20.05,500,0,351,0,nan,nan,nan,nan
331,1.0,-7.95,500,1,309,1,255.0,nan,nan,nan
332,1.0,-18.8,500,0,326,0,nan,nan,nan,nan
333,1.0,-7.8,500,1,306,1,219.0,nan,nan,nan
334,1.0,-17.85,500,0,307,0,nan,nan,nan,nan
335,1.0,-18.25,500,0,315,0,nan,nan,nan,nan
336,1.0,-18.2,500,0,314,0,nan,nan,nan,nan
337,1.0,-8.65,500,1,323,1,401.0,nan,nan,nan
338,1.0,-7.5,500,1,300,1,462.0,nan,nan,nan
339,1.0,-17.35,500,0,297,0,nan,nan,nan,nan
340,1.0,-17.75,500,0,305,0,nan,nan,nan,nan
341,1.0,-7.95,500,1,309,1,79.0,nan,nan,nan
342,1.0,-8.3,500,1,316,1,172.0,nan,nan,nan
343,1.0,-7.35,500,1,297,1,70.0,nan,nan,nan
344,1.0,-18.8,500,0,326,0,nan,nan,nan,nan
345,1.0,-17.95,500,0,309,0,nan,nan,nan,nan
346,1.0,-18.85,500,0,327,0,nan,nan,nan,nan
347,1.0,-17.25,500,0,295,0,nan,nan,nan,nan
348,1.0,-18.3,500,0,316,0,nan,nan,nan,nan
349,1.0,-17.8,500,0,306,0,nan,nan,nan,nan
350,1.0,-19.15,500,0,333,0,nan,nan,nan,nan
351,1.0,-19.25,500,0,335,0,nan,nan,nan,nan
352,1.0,-8.0,500,1,310,1,108.0,nan,nan,nan
353,1.0,-18.25,500,0,315,0,nan,nan,nan,nan
354,1.0,-17.75,500,0,305,0,nan,nan,nan,nan
355,1.0,-18.75,500,0,325,0,nan,nan,nan,nan
356,1.0,-7.95,500,1,309,1,144.0,nan,nan,nan
357,1.0,-18.75,500,0,325,0,nan,nan,nan,nan
358,1.0,-19.0,500,0,330,0,nan,nan,nan,nan
359,1.0,-7.8,500,1,306,1,79.0,nan,nan,nan
360,1.0,-9.0,500,1,330,1,268.0,nan,nan,nan
361,1.0,-18.35,500,0,317,0,nan,nan,nan,nan
362,1.0,-19.45,500,0,339,0,nan,nan,nan,nan
363,1.0,-18.6,500,0,322,0,nan,nan,nan,nan
364,1.0,-18.25,500,0,315,0,nan,nan,nan,nan
365,1.0,-8.75,500,1,325,1,188.0,nan,nan,nan
366,1.0,-18.35,500,0,317,0,nan,nan,nan,nan
367,1.0,-19.35,500,0,337,0,nan,nan,nan,nan
368,1.0,-17.95,500,0,309,0,nan,nan,nan,nan
369,1.0,-18.35,500,0,317,0,nan,nan,nan,nan
370,1.0,-19.65,500,0,343,0,nan,nan,nan,nan
371,1.0,-19.1,500,0,332,0,nan,nan,nan,nan
372,1.0,-18.6,500,0,322,0,nan,nan,nan,nan
373,1.0,-17.65,500,0,303,0,nan,nan,nan,nan
374,1.0,-18.85,500,0,327,0,nan,nan,nan,nan
375,1.0,1.8,500,1,314,2,147.0,nan,nan,nan
376,1.0,-8.7,500,1,324,1,136.0,nan,nan,nan
377,1.0,-18.5,500,0,320,0,nan,nan,nan,nan
378,1.0,-8.05,500,1,311,1,229.0,nan,nan,nan
379,1.0,-18.5,500,0,320,0,nan,nan,nan,nan
380,1.0,-18.6,500,0,322,0,nan,nan,nan,nan
381,1.0,-18.2,500,0,314,0,nan,nan,nan,nan
382,1.0,-8.6,500,1,322,1,462.0,nan,nan,nan
383,1.0,-18.15,500,0,313,0,nan,nan,nan,nan
384,1.0,-7.95,500,1,309,1,211.0,nan,nan,nan
385,1.0,-19.05,500,0,331,0,nan,nan,nan,nan
386,1.0,-18.35,500,0,317,0,nan,nan,nan,nan
387,1.0,-18.7,500,0,324,0,nan,nan,nan,nan
388,1.0,-18.15,500,0,313,0,nan,nan,nan,nan
389,1.0,-18.05,500,0,311,0,nan,nan,nan,nan
390,1.0,-8.5,500,1,320,1,342.0,nan,nan,nan
391,1.0,-18.25,500,0,315,0,nan,nan,nan,nan
392,1.0,-7.8,500,1,306,1,270.0,nan,nan,nan
393,1.0,-18.0,500,0,310,0,nan,nan,nan,nan
394,1.0,-18.05,500,0,311,0,nan,nan,nan,nan
395,1.0,-7.4,500,1,298,1,87.0,nan,nan,nan
396,1.0,-8.0,500,1,310,1,401.0,nan,nan,nan
397,1.0,-19.1,500,0,332,0,nan,nan,nan,nan
