Step,Position,Velocity,Action_Vel_Cmd,Action_Lick_Cmd,Critic_Value,Policy_StdDev,Reward
155,0.0,-20.0,-20.0,-1.0,1.3455,0.0,-0.005
156,8.414,8.414,8.414,-1.0,1.2634,0.0,-0.005
157,28.414,20.0,20.0,1.0,0.719,0.0,-0.055
158,8.414,-20.0,-20.0,1.0,0.9374,0.0,-0.055
159,0.0,-20.0,-20.0,1.0,1.7529,0.0,-0.055
160,20.0,20.0,20.0,-1.0,0.8564,0.0,-0.005
161,0.0,-20.0,-20.0,-0.073,1.4297,0.0,-0.005
162,20.0,20.0,20.0,-1.0,0.6656,0.0,-0.005
163,0.0,-20.0,-20.0,1.0,1.1015,0.0,-0.055
164,0.0,-20.0,-20.0,1.0,1.3872,0.0,-0.055
165,20.0,20.0,20.0,-1.0,0.82,0.0,-0.005
166,40.0,20.0,20.0,-1.0,0.6296,0.0,-0.005
167,60.0,20.0,20.0,1.0,0.2026,0.0,-0.055
168,80.0,20.0,20.0,-1.0,-0.1365,0.0,-0.005
169,60.0,-20.0,-20.0,1.0,0.0328,0.0,-0.055
170,40.0,-20.0,-20.0,-1.0,0.2877,0.0,-0.005
171,60.0,20.0,20.0,0.92,0.078,0.0,-0.055
172,80.0,20.0,20.0,1.0,-0.0167,0.0,-0.055
173,60.0,-20.0,-20.0,1.0,0.1143,0.0,-0.055
174,50.714,-9.286,-9.286,-1.0,-0.2245,0.0,-0.005
175,30.714,-20.0,-20.0,-1.0,0.6104,0.0,-0.005
176,10.714,-20.0,-20.0,-0.524,1.1432,0.0,-0.005
177,0.0,-20.0,-20.0,-1.0,1.724,0.0,-0.005
178,20.0,20.0,20.0,1.0,0.7548,0.0,-0.055
179,40.0,20.0,20.0,-1.0,0.5213,0.0,-0.005
180,60.0,20.0,20.0,1.0,0.0549,0.0,-0.055
181,80.0,20.0,20.0,-1.0,-0.035,0.0,-0.005
182,100.0,20.0,20.0,1.0,-0.1016,0.0,-0.055
183,80.0,-20.0,-20.0,1.0,-0.104,0.0,-0.055
184,60.0,-20.0,-20.0,-0.676,-0.2992,0.0,-0.005
185,40.0,-20.0,-20.0,1.0,-0.1453,0.0,-0.055
186,20.0,-20.0,-20.0,-1.0,0.7664,0.0,-0.005
187,0.0,-20.0,-20.0,0.355,1.4557,0.0,-0.055
188,20.0,20.0,20.0,1.0,0.764,0.0,-0.055
189,0.0,-20.0,-20.0,1.0,1.378,0.0,-0.055
190,20.0,20.0,20.0,-1.0,0.8438,0.0,-0.005
191,31.426,11.426,11.426,1.0,0.5238,0.0,-0.055
192,11.426,-20.0,-20.0,1.0,1.1813,0.0,-0.055
193,0.0,-20.0,-20.0,-1.0,1.738,0.0,-0.005
194,0.0,-20.0,-20.0,-1.0,1.4171,0.0,-0.005
195,20.0,20.0,20.0,1.0,0.7099,0.0,-0.055
196,40.0,20.0,20.0,1.0,0.4204,0.0,-0.055
197,60.0,20.0,20.0,-1.0,0.379,0.0,-0.005
198,80.0,20.0,20.0,-1.0,-0.0142,0.0,-0.005
199,60.0,-20.0,-20.0,-1.0,0.5196,0.0,-0.005
200,80.0,20.0,20.0,1.0,-0.0836,0.0,-0.055
201,100.0,20.0,20.0,1.0,0.336,0.0,-0.055
202,80.0,-20.0,-20.0,1.0,-0.2716,0.0,-0.055
203,60.0,-20.0,-20.0,1.0,-0.0251,0.0,-0.055
204,40.0,-20.0,-20.0,-1.0,0.3237,0.0,-0.005
205,60.0,20.0,20.0,1.0,0.2686,0.0,-0.055
206,40.0,-20.0,-20.0,0.389,0.4694,0.0,-0.055
207,20.0,-20.0,-20.0,-1.0,0.886,0.0,-0.005
208,40.0,20.0,20.0,1.0,0.3671,0.0,-0.055
209,60.0,20.0,20.0,-1.0,0.3844,0.0,-0.005
210,40.0,-20.0,-20.0,-1.0,0.5219,0.0,-0.005
211,60.0,20.0,20.0,-1.0,0.0539,0.0,-0.005
212,80.0,20.0,20.0,1.0,-0.0732,0.0,-0.055
213,60.0,-20.0,-20.0,-1.0,0.4067,0.0,-0.005
214,80.0,20.0,20.0,-1.0,-0.1885,0.0,-0.005
215,80.497,0.497,0.497,-1.0,-0.0042,0.0,-0.005
216,60.497,-20.0,-20.0,-1.0,0.3757,0.0,-0.005
