episode,total_reward,steps,n_licks,n_successes,intra_trial_duration,critic_loss,actor_loss,alpha
229,2095.58,500,384,21,12.0,2.319647,-336.386505,0.114101
230,2095.575,500,385,21,12.0,1.826951,-339.308228,0.114367
231,2095.465,500,407,21,12.0,836.863098,-337.632263,0.118354
232,2095.335,500,433,21,12.0,3.09269,-340.151337,0.123722
233,2095.51,500,398,21,12.0,684.481812,-335.944427,0.119699
234,1995.645,500,371,20,12.0,3.179815,-341.464844,0.123327
235,2095.525,500,395,21,12.0,5.609967,-334.846527,0.126098
236,2095.4,500,420,21,12.0,714.665771,-334.371399,0.124148
237,2095.49,500,402,21,12.0,1.157245,-339.16098,0.125006
238,2095.545,500,391,21,12.0,1.799031,-337.605652,0.125529
239,2095.46,500,408,21,12.0,666.544739,-339.433319,0.127387
240,2095.675,500,365,21,12.0,1135.423828,-340.622162,0.120255
241,2095.72,500,356,21,12.0,7.26394,-343.054413,0.115807
242,2095.74,500,352,21,12.0,5.989676,-343.424866,0.12335
243,2095.47,500,406,21,12.0,22.238426,-334.249908,0.129136
244,2095.52,500,396,21,12.0,3.325027,-340.77121,0.132121
245,2095.49,500,402,21,12.0,1330.342651,-339.447235,0.129142
246,2095.44,500,412,21,12.0,4.230976,-338.676605,0.131456
247,2095.465,500,407,21,12.0,4.100535,-340.797089,0.127583
248,2095.545,500,391,21,12.0,0.825855,-342.674133,0.125057
249,2095.55,500,390,21,12.0,19.893673,-338.229034,0.123868
250,2095.525,500,395,21,12.0,6.374116,-339.418121,0.121531
251,2095.765,500,347,21,12.0,634.880554,-337.808594,0.121581
252,2095.635,500,373,21,12.0,3.291443,-340.953156,0.119613
253,2095.725,500,355,21,12.0,2779.459717,-342.028137,0.121111
254,2095.58,500,384,21,12.0,692.501953,-339.594208,0.120497
255,2095.535,500,393,21,12.0,3.662843,-340.195862,0.12052
256,2095.505,500,399,21,12.0,681.082886,-339.763519,0.115749
257,2095.465,500,407,21,12.0,6.031216,-342.172791,0.122165
258,2095.56,500,388,21,12.0,3.138276,-337.002258,0.11886
259,2095.69,500,362,21,12.0,3.979678,-339.604889,0.117675
260,2095.67,500,366,21,12.0,14.286183,-338.490479,0.119198
261,2095.535,500,393,21,12.0,2.541216,-341.037415,0.117582
262,2095.615,500,377,21,12.0,2.014581,-339.244568,0.121799
263,2095.7,500,360,21,12.0,2.55818,-340.200714,0.121677
264,2095.65,500,370,21,12.0,21.05587,-338.768524,0.121578
265,2095.585,500,383,21,12.0,5.326395,-342.123932,0.116803
266,2095.62,500,376,21,12.0,1.362107,-342.084869,0.118933
267,2095.69,500,362,21,12.0,1315.863281,-337.210022,0.122296
268,2095.85,500,330,21,12.0,12.580615,-340.412506,0.119771
269,2095.905,500,319,21,12.0,1.496743,-343.579926,0.112035
270,2095.64,500,372,21,12.0,3.626465,-341.122833,0.122162
271,2095.6,500,380,21,12.0,8.908992,-337.458374,0.125076
272,2095.53,500,394,21,12.0,2.655994,-341.914185,0.126547
273,2095.78,500,344,21,12.0,655.108826,-341.560699,0.126852
274,2095.795,500,341,21,12.0,692.755859,-339.587036,0.13398
275,2095.625,500,375,21,12.0,651.38269,-341.320404,0.133208
276,2095.715,500,357,21,12.0,7.085454,-338.701843,0.132938
277,2095.6,500,380,21,12.0,4.501855,-340.206451,0.13727
278,2095.68,500,364,21,12.0,3.855496,-340.112488,0.136442
279,2095.555,500,389,21,12.0,1.455147,-341.701904,0.135311
280,2095.605,500,379,21,12.0,2.588657,-340.27356,0.131518
281,2095.605,500,379,21,12.0,3.397878,-342.303741,0.128554
282,2095.735,500,353,21,12.0,3.028303,-342.018585,0.127481
283,2095.82,500,336,21,12.047619047619047,5.840555,-342.511536,0.128634
284,2095.935,500,313,21,12.0,4.14463,-341.17395,0.123504
285,1796.09,500,282,18,13.833333333333334,7.322885,-342.093384,0.126097
286,1995.645,500,371,20,12.3,716.120728,-339.198456,0.124999
287,2095.36,500,428,21,12.0,1342.027466,-340.042786,0.131677
288,1995.55,500,390,20,12.0,2.257248,-341.798035,0.122262
289,2095.68,500,364,21,12.0,668.617554,-340.903931,0.118401
290,2095.66,500,368,21,12.0,4.643508,-340.257904,0.11884
291,2095.895,500,321,21,12.0,3.042172,-340.410492,0.120001
292,2095.76,500,348,21,12.0,1.96559,-341.5065,0.120923
293,2095.82,500,336,21,12.0,6.854376,-338.587494,0.117674
294,2095.705,500,359,21,12.0,653.513123,-337.44397,0.115951
295,2095.64,500,372,21,12.0,8.07689,-338.853882,0.112004
296,2095.615,500,377,21,12.0,711.173096,-340.080994,0.109385
297,2095.665,500,367,21,12.0,4.909607,-343.84613,0.106742
298,2095.81,500,338,21,12.0,1.378416,-344.071808,0.11332
299,2095.95,500,310,21,12.0,1418.254883,-339.699677,0.105352
300,2095.63,500,374,21,12.0,1.230015,-346.049744,0.095084
301,2095.705,500,359,21,12.0,667.958862,-342.546753,0.093154
302,2095.62,500,376,21,12.0,694.752502,-341.249573,0.095304
303,2095.57,500,386,21,12.0,17.418583,-340.156433,0.091474
304,2095.61,500,378,21,12.0,704.716919,-340.703705,0.09277
305,2095.595,500,381,21,12.0,3.74952,-344.482391,0.09214
306,2095.735,500,353,21,12.0,6.699747,-341.243103,0.090822
307,2095.78,500,344,21,12.0,3.554298,-341.368134,0.090554
308,2095.77,500,346,21,12.0,657.342834,-345.673828,0.092644
309,2095.625,500,375,21,12.0,2.383899,-343.476837,0.094529
310,2095.58,500,384,21,12.0,8.54615,-344.064209,0.093129
311,2095.7,500,360,21,12.0,1.601934,-343.992554,0.089814
312,2095.74,500,352,21,12.0,678.510193,-341.15744,0.089528
313,2096.005,500,299,21,12.0,1034.929565,-341.378937,0.089165
314,2095.77,500,346,21,12.0,2067.037842,-343.329529,0.09154
315,2095.945,500,311,21,12.0,684.101685,-342.363037,0.093299
316,2095.815,500,337,21,12.0,5.22893,-345.338257,0.098432
317,2095.73,500,354,21,12.0,3.31814,-343.398926,0.095926
318,2095.605,500,379,21,12.0,1397.793945,-341.525696,0.096854
319,2095.745,500,351,21,12.0,3.262727,-341.776123,0.097448
320,2095.685,500,363,21,12.0,4.084375,-343.180542,0.096292
321,2095.65,500,370,21,12.0,3.808586,-344.19104,0.096516
322,2095.625,500,375,21,12.0,764.835083,-345.075012,0.094671
323,2095.74,500,352,21,12.0,13.497049,-345.316498,0.094968
324,2095.705,500,359,21,12.0,2.691425,-344.24762,0.096452
325,2095.855,500,329,21,12.0,2.169212,-340.572632,0.094962
326,2095.825,500,335,21,12.0,2.629133,-343.739868,0.095568
327,2095.675,500,365,21,12.0,8.970245,-343.138367,0.096059
328,2095.735,500,353,21,12.0,1.707373,-343.362671,0.096463
329,2095.675,500,365,21,12.0,3.299763,-343.753296,0.098726
330,2095.66,500,368,21,12.0,655.435852,-342.443237,0.09997
331,2095.675,500,365,21,12.0,4.374238,-343.269073,0.102095
332,2095.625,500,375,21,12.047619047619047,728.739929,-344.874298,0.097769
333,2095.5,500,400,21,12.0,2.158817,-344.178711,0.095454
334,2095.705,500,359,21,12.0,2.519959,-345.191772,0.096983
335,2095.83,500,334,21,12.047619047619047,9.511962,-342.704041,0.097612
336,2095.61,500,378,21,12.0,732.312378,-339.305511,0.100163
337,2095.7,500,360,21,12.0,706.715454,-343.666412,0.092358
338,2095.575,500,385,21,12.0,1390.371216,-343.642395,0.092115
339,1995.85,500,330,20,12.0,3.051272,-345.860687,0.088798
340,2095.795,500,341,21,12.0,1403.49585,-344.850922,0.090826
341,2095.9,500,320,21,12.0,25.273056,-340.080872,0.091417
342,2095.69,500,362,21,12.0,1292.701904,-343.142273,0.094923
343,2095.735,500,353,21,12.0,684.984619,-342.378754,0.095076
344,2095.805,500,339,21,12.0,5.036476,-345.354218,0.092456
345,2095.745,500,351,21,12.0,3.836358,-345.488037,0.093272
346,2095.645,500,371,21,12.0,1416.913818,-346.401672,0.092434
347,2095.65,500,370,21,12.0,737.881165,-344.828064,0.09268
348,2095.7,500,360,21,12.0,1422.818604,-342.70459,0.090924
349,2095.86,500,328,21,12.0,1.244167,-344.300262,0.090432
350,2095.8,500,340,21,12.0,2.302884,-345.092407,0.093257
351,2095.72,500,356,21,12.0,10.617374,-344.235809,0.096274
352,2095.87,500,326,21,12.0,5.583179,-342.58313,0.095164
353,2095.875,500,325,21,12.0,696.809998,-344.179993,0.092558
354,2095.79,500,342,21,12.0,7.075851,-344.327393,0.092413
355,2095.77,500,346,21,12.0,1451.694824,-346.916016,0.093808
356,2095.705,500,359,21,12.0,763.967896,-343.61084,0.096753
357,2095.685,500,363,21,12.0,1.51834,-345.371765,0.10086
358,2095.69,500,362,21,12.0,744.358948,-346.097992,0.100401
359,2095.74,500,352,21,12.0,1.308675,-345.786255,0.103092
360,2095.645,500,371,21,12.0,689.197388,-346.050507,0.104014
