episode,total_reward,steps,n_licks,n_successes,intra_trial_duration,critic_loss,actor_loss,alpha
214,1095.595,500,381,11,21.636363636363637,nan,502.021698,nan
215,1095.57,500,386,11,20.818181818181817,nan,511.331421,nan
216,995.525,500,395,10,22.4,nan,446.084534,nan
217,1195.455,500,409,12,20.583333333333332,nan,552.543945,nan
218,1095.495,500,401,11,19.454545454545453,nan,505.145081,nan
219,1095.62,500,376,11,20.181818181818183,nan,501.751617,nan
220,1195.485,500,403,12,20.083333333333332,nan,559.511902,nan
221,1095.58,500,384,11,21.363636363636363,nan,516.641602,nan
222,1095.55,500,390,11,22.454545454545453,nan,510.917969,nan
223,1095.51,500,398,11,22.818181818181817,nan,534.559875,nan
224,1195.535,500,393,12,20.833333333333332,nan,552.570435,nan
225,1195.525,500,395,12,20.333333333333332,nan,555.819336,nan
226,1095.565,500,387,11,21.0,nan,501.61142,nan
227,1095.615,500,377,11,22.181818181818183,nan,500.933411,nan
228,1195.515,500,397,12,20.583333333333332,nan,582.537109,nan
229,1095.57,500,386,11,19.545454545454547,nan,515.438843,nan
230,1295.475,500,405,13,20.23076923076923,nan,583.587646,nan
231,1095.565,500,387,11,22.727272727272727,nan,507.104126,nan
232,1195.49,500,402,12,20.166666666666668,nan,534.752258,nan
233,1095.55,500,390,11,20.181818181818183,nan,489.208221,nan
234,1195.545,500,391,12,20.25,nan,547.89386,nan
235,1095.57,500,386,11,24.636363636363637,nan,511.284821,nan
236,1095.57,500,386,11,22.636363636363637,nan,520.459412,nan
237,1195.53,500,394,12,21.416666666666668,nan,550.14093,nan
238,1095.54,500,392,11,21.272727272727273,nan,511.182129,nan
239,1095.52,500,396,11,22.0,nan,492.328705,nan
240,1195.57,500,386,12,20.25,nan,563.225586,nan
241,1095.54,500,392,11,21.181818181818183,nan,504.385986,nan
242,1195.56,500,388,12,21.333333333333332,nan,546.235901,nan
243,1095.565,500,387,11,22.636363636363637,nan,492.752625,nan
244,1095.55,500,390,11,21.363636363636363,nan,506.003906,nan
245,1095.57,500,386,11,21.636363636363637,nan,508.836823,nan
246,1195.505,500,399,12,21.083333333333332,nan,550.155579,nan
247,1095.55,500,390,11,21.636363636363637,nan,495.17395,nan
248,1195.455,500,409,12,19.583333333333332,nan,564.706482,nan
249,1195.49,500,402,12,21.166666666666668,nan,541.81665,nan
250,1095.57,500,386,11,24.272727272727273,nan,518.0802,nan
251,1095.57,500,386,11,23.545454545454547,nan,545.362061,nan
252,1095.545,500,391,11,23.181818181818183,nan,495.733368,nan
253,1195.545,500,391,12,22.333333333333332,nan,534.772095,nan
254,1095.535,500,393,11,21.636363636363637,nan,503.810638,nan
255,1095.53,500,394,11,23.0,nan,496.836609,nan
256,1195.51,500,398,12,21.0,nan,542.779114,nan
257,1095.64,500,372,11,22.90909090909091,nan,513.625549,nan
258,1095.525,500,395,11,22.90909090909091,nan,505.566956,nan
259,995.55,500,390,10,25.6,nan,456.251495,nan
260,1095.555,500,389,11,22.90909090909091,nan,530.552368,nan
261,1095.585,500,383,11,21.181818181818183,nan,523.786316,nan
262,1095.61,500,378,11,24.181818181818183,nan,494.99881,nan
263,1095.525,500,395,11,23.454545454545453,nan,524.428467,nan
264,1095.545,500,391,11,22.363636363636363,nan,518.128906,nan
265,1095.63,500,374,11,25.181818181818183,nan,497.769562,nan
266,1095.525,500,395,11,24.181818181818183,nan,510.281799,nan
267,1095.54,500,392,11,20.454545454545453,nan,512.772461,nan
268,1095.615,500,377,11,25.0,nan,523.44165,nan
269,1195.65,500,370,12,21.75,nan,546.0896,nan
270,1095.585,500,383,11,22.727272727272727,nan,513.636963,nan
271,1195.56,500,388,12,22.833333333333332,nan,561.819153,nan
272,1195.64,500,372,12,21.166666666666668,nan,536.103027,nan
273,995.585,500,383,10,23.9,nan,450.622192,nan
274,1195.52,500,396,12,22.666666666666668,nan,548.330078,nan
275,1195.51,500,398,12,22.25,nan,556.682007,nan
