episode,total_reward,steps,success,licked_left,licked_right,n_licks,n_successes,intra_trial_duration,critic_loss,actor_loss,alpha
177,-5.0,500,0,1,0,50,0,nan,0.00227,0.569205,nan
178,-5.3,500,0,1,0,56,0,nan,0.000602,0.575396,nan
179,-3.4,500,0,1,0,18,0,nan,0.004138,0.585454,nan
180,-4.5,500,0,1,0,40,0,nan,0.006922,0.601687,nan
181,-4.6,500,0,1,0,42,0,nan,0.000648,0.581239,nan
182,-3.75,500,0,1,0,25,0,nan,0.000517,0.588394,nan
183,-3.5,500,0,1,0,20,0,nan,0.003277,0.58669,nan
184,-2.55,500,0,1,0,1,0,nan,0.003446,0.542126,nan
185,-2.5,500,0,0,0,0,0,nan,9.3e-05,0.523383,nan
186,-26.5,500,0,0,0,480,0,nan,0.000412,0.486028,nan
187,-27.5,500,0,0,0,500,0,nan,0.002071,0.483426,nan
188,-27.45,500,0,0,0,499,0,nan,0.000808,0.446158,nan
189,-27.5,500,0,0,0,500,0,nan,0.002756,0.411196,nan
190,-27.5,500,0,0,0,500,0,nan,0.001427,0.436759,nan
191,-27.5,500,0,0,0,500,0,nan,0.000524,0.493788,nan
192,-27.3,500,0,0,0,496,0,nan,0.004114,0.521417,nan
193,-27.4,500,0,0,0,498,0,nan,0.006633,0.537862,nan
194,-27.15,500,0,0,0,493,0,nan,0.00061,0.539793,nan
195,-27.4,500,0,0,0,498,0,nan,0.000294,0.548031,nan
196,-2.65,500,0,1,0,3,0,nan,0.003747,0.560485,nan
197,-2.5,500,0,0,0,0,0,nan,0.000439,0.525283,nan
198,-2.5,500,0,0,0,0,0,nan,0.000126,0.486595,nan
199,-2.5,500,0,0,0,0,0,nan,0.000213,0.476878,nan
200,-2.5,500,0,0,0,0,0,nan,0.000168,0.456219,nan
201,-2.55,500,0,1,0,1,0,nan,3.5e-05,0.452318,nan
202,-2.5,500,0,0,0,0,0,nan,0.002135,0.449095,nan
203,-2.6,500,0,1,0,2,0,nan,0.002975,0.458954,nan
204,-2.5,500,0,0,0,0,0,nan,3.3e-05,0.447299,nan
205,-2.5,500,0,0,0,0,0,nan,3.8e-05,0.442572,nan
206,-2.5,500,0,0,0,0,0,nan,0.002589,0.452651,nan
207,-2.55,500,0,1,0,1,0,nan,0.001046,0.438284,nan
208,-2.55,500,0,1,0,1,0,nan,2.7e-05,0.454758,nan
209,-2.5,500,0,0,0,0,0,nan,8.4e-05,0.445804,nan
210,-2.5,500,0,0,0,0,0,nan,6.2e-05,0.447358,nan
211,-2.85,500,0,1,0,7,0,nan,6.4e-05,0.458768,nan
212,-2.5,500,0,0,0,0,0,nan,9.9e-05,0.445356,nan
213,-2.5,500,0,0,0,0,0,nan,0.001641,0.441626,nan
214,-3.35,500,0,1,0,17,0,nan,0.002364,0.432397,nan
215,-2.5,500,0,0,0,0,0,nan,0.002339,0.445477,nan
216,-3.05,500,0,1,0,11,0,nan,0.002282,0.44751,nan
217,-3.0,500,0,1,0,10,0,nan,0.00114,0.443538,nan
218,-3.85,500,0,1,0,27,0,nan,0.002278,0.443276,nan
219,-3.2,500,0,1,0,14,0,nan,6.7e-05,0.44055,nan
220,-3.65,500,0,1,0,23,0,nan,0.003184,0.449595,nan
221,-3.8,500,0,1,0,26,0,nan,3e-05,0.449033,nan
222,-2.75,500,0,1,0,5,0,nan,3.6e-05,0.436069,nan
223,-3.9,500,0,1,0,28,0,nan,0.004382,0.449772,nan
224,-2.65,500,0,1,0,3,0,nan,4.4e-05,0.448527,nan
225,-2.6,500,0,1,0,2,0,nan,0.000151,0.442621,nan
226,-2.8,500,0,1,0,6,0,nan,0.004286,0.449062,nan
227,-3.0,500,0,1,0,10,0,nan,0.001257,0.444329,nan
228,-2.8,500,0,1,0,6,0,nan,0.002032,0.443759,nan
229,-3.0,500,0,1,0,10,0,nan,0.003478,0.439775,nan
230,-2.65,500,0,1,0,3,0,nan,0.000207,0.442782,nan
231,-2.7,500,0,1,0,4,0,nan,3e-05,0.43589,nan
