episode,total_reward,steps,success,licked_left,licked_right,n_licks,critic_loss,actor_loss,alpha
444,0.605,19,0,0,1,6,0.000207,-0.736442,nan
445,0.49,22,0,0,1,8,0.000257,-0.740151,nan
446,0.435,23,0,0,1,9,0.004288,nan,nan
447,0.545,21,0,0,1,7,0.000274,-0.734019,nan
448,0.435,23,0,0,1,9,0.004258,nan,nan
449,0.595,21,0,0,1,6,0.000227,-0.739253,nan
450,0.55,20,0,0,1,7,0.004166,-0.738396,nan
451,0.595,21,0,0,1,6,0.000212,nan,nan
452,0.545,21,0,0,1,7,0.000257,-0.746134,nan
453,0.55,20,0,0,1,7,0.004124,-0.743512,nan
454,0.605,19,0,0,1,6,0.000266,nan,nan
455,0.49,22,0,0,1,8,0.000313,nan,nan
456,0.545,21,0,0,1,7,0.000196,-0.737787,nan
457,0.6,20,0,0,1,6,0.000226,-0.731967,nan
458,0.545,21,0,0,1,7,0.000205,nan,nan
459,0.6,20,0,0,1,6,0.000195,nan,nan
460,0.435,23,0,0,1,9,0.000263,-0.735868,nan
461,0.485,23,0,0,1,8,0.000178,nan,nan
462,0.385,23,0,0,1,10,0.00021,-0.732775,nan
463,0.605,19,0,0,1,6,0.004153,nan,nan
464,0.44,22,0,0,1,9,0.000214,nan,nan
465,0.49,22,0,0,1,8,0.000175,nan,nan
466,0.605,19,0,0,1,6,0.000172,-0.722688,nan
467,0.49,22,0,0,1,8,0.000212,-0.733866,nan
468,0.425,25,0,0,1,9,0.000297,nan,nan
469,0.655,19,0,0,1,5,0.000211,-0.74461,nan
470,0.43,24,0,0,1,9,0.000378,-0.740091,nan
471,0.49,22,0,0,1,8,0.000195,-0.73231,nan
472,0.55,20,0,0,1,7,0.000175,-0.751652,nan
473,0.535,23,0,0,1,7,0.000224,nan,nan
474,0.44,22,0,0,1,9,0.000272,nan,nan
475,0.595,21,0,0,1,6,0.000237,-0.748089,nan
476,0.435,23,0,0,1,9,0.003846,nan,nan
477,0.37,26,0,0,1,10,0.000322,nan,nan
478,0.44,22,0,0,1,9,0.000214,nan,nan
479,0.545,21,0,0,1,7,0.000306,-0.742281,nan
480,0.215,27,0,0,1,13,0.000301,nan,nan
481,0.39,22,0,0,1,10,0.000271,nan,nan
482,0.33,24,0,0,1,11,0.000207,nan,nan
483,0.55,20,0,0,1,7,0.00029,nan,nan
484,0.38,24,0,0,1,10,0.00024,nan,nan
485,0.49,22,0,0,1,8,0.000276,nan,nan
